entry_index,record_start_hex,id_offset_hex,value,u32_00,u32_04,u32_08,u32_0c,u32_10,u32_14,u32_18,u32_1c,u32_20,u32_24,u32_28,u32_2c,u32_30,u32_34,u32_38,u32_3c
254,0x830,0x850,586,584,560,0,584,585,561,0,585,586,562,0,586,722,564,0,715
254,0x83c,0x85c,586,584,585,561,0,585,586,562,0,586,722,564,0,715,565,565,0
254,0xb90,0xbb0,643,640,640,0,640,641,641,0,641,643,642,0,643,645,644,0,645
254,0xb9c,0xbbc,643,640,641,641,0,641,643,642,0,643,645,644,0,645,647,646,0
254,0x1c44,0x1c64,586,268435470,58720266,0,134479872,0,0,0,569,586,4294967295,3212836864,3212836864,0,0,4294967295,3212836864
254,0x1f40,0x1f60,586,0,14,59244554,0,134479872,0,0,0,586,586,4294967295,3212836864,3212836864,0,0,4294967295
254,0x1f44,0x1f64,586,14,59244554,0,134479872,0,0,0,586,586,4294967295,3212836864,3212836864,0,0,4294967295,3212836864
254,0x1f74,0x1f94,586,0,0,4294967295,3212836864,458760,1065353216,1058642330,4294967295,586,525312,0,0,14,59244554,0,134479872
254,0x3140,0x3160,643,0,14,0,5767168,134217728,0,0,0,643,645,4294967295,3212836864,1084227584,0,0,4294967295
254,0x3174,0x3194,643,0,0,4294967295,3212836864,458758,1065353216,1058642330,4294967295,643,16778256,0,0,536870926,8388608,12599296,134217728
254,0x76f0,0x7710,26,1,0,0,0,734800,3,734803,0,26,0,0,0,734800,4,734804,1112014848
254,0x7f14,0x7f34,586,585,3212836864,3212836864,6,585,3212836864,3212836864,0,586,3212836864,3212836864,6,586,3212836864,3212836864,0
254,0x7f24,0x7f44,586,585,3212836864,3212836864,0,586,3212836864,3212836864,6,586,3212836864,3212836864,0,588,3212836864,3212836864,6
254,0x8514,0x8534,643,641,3212836864,3212836864,6,641,3212836864,3212836864,0,643,3212836864,3212836864,6,643,3212836864,3212836864,0
254,0x8524,0x8544,643,641,3212836864,3212836864,0,643,3212836864,3212836864,6,643,3212836864,3212836864,0,645,3212836864,3212836864,6
254,0x9f78,0x9f98,26,0,0,4294967295,0,0,0,529,0,26,3212836864,3212836864,1065353216,1065353216,1065353216,1065353216,0
254,0xa6b0,0xa6d0,586,1065353216,0,0,0,4294967295,0,0,0,586,0,183,3212836864,3212836864,1065353216,1065353216,1065353216
254,0xb2b0,0xb2d0,643,1065353216,0,0,0,4294967295,0,0,0,643,0,33,3212836864,3212836864,1065353216,1065353216,1065353216
254,0xe280,0xe2a0,586,585,65540,1065353216,4286564766,4286564766,3212836864,0,0,586,65540,1065353216,4286564766,4286564766,3212836864,0,0
254,0xe8c0,0xe8e0,643,641,4,0,4286564766,4286564766,3212836864,0,0,643,10,0,4286564766,4286564766,0,0,0
254,0xe8e0,0xe900,643,643,10,0,4286564766,4286564766,0,0,0,643,4,0,4286564766,4286564766,3212836864,0,0
254,0x11f7c,0x11f9c,586,20,4294967295,4294967295,4294967295,0,523,1065353216,58,586,4294967295,1082130432,3212836864,3212836864,17,4294967295,0
254,0x11fbc,0x11fdc,586,4294967295,4294967295,4294967295,4294967295,0,528,1065353216,58,586,4294967295,1082130432,3212836864,3212836864,17,4294967295,0
254,0x122bc,0x122dc,294,131076,131084,4294967295,4294967295,0,119,1065353216,93,294,4294967295,3212836864,3212836864,3212836864,314,3,4
254,0x12ffc,0x1301c,294,4294967295,4294967295,4294967295,4294967295,0,109,1093664768,293,294,4294967295,3212836864,3212836864,3212836864,314,3,0
254,0x13138,0x13158,294,2,65540,65548,4294967295,4294967295,0,106,1093664768,294,293,4294967295,3212836864,3212836864,3212836864,314,3
254,0x13178,0x13198,294,0,65540,13,4294967295,4294967295,0,113,1093664768,294,295,4294967295,3212836864,3212836864,3212836864,314,3
254,0x131b8,0x131d8,294,0,65540,65549,4294967295,4294967295,0,116,1093664768,294,296,4294967295,3212836864,3212836864,3212836864,314,3
254,0x131f8,0x13218,294,0,65540,65549,4294967295,4294967295,0,52205,1120534528,294,4294967295,4294901796,3212836864,3212836864,3212836864,314,3
254,0x13238,0x13258,294,0,65540,65549,4294967295,4294967295,0,103,1093664768,294,294,4294967295,3212836864,3212836864,3212836864,314,3
254,0x1323c,0x1325c,294,65540,65549,4294967295,4294967295,0,103,1093664768,294,294,4294967295,3212836864,3212836864,3212836864,314,3,2
254,0x132bc,0x132dc,294,65540,65551,4294967295,4294967295,0,110,1093664768,295,294,4294967295,3212836864,3212836864,3212836864,314,3,0
254,0x133fc,0x1341c,294,65540,65550,4294967295,4294967295,0,111,1093664768,296,294,4294967295,3212836864,3212836864,3212836864,314,3,0
254,0x13650,0x13670,26,52004,1149452288,304,4294967295,4294901781,3212836864,3212836864,3212836864,26,1,0,917509,4294967295,4294967295,4294967295,0
254,0x172e0,0x17300,586,585,0,0,3212836864,3212836864,0,0,0,586,0,0,3212836864,3212836864,0,0,0
254,0x178e0,0x17900,643,641,0,0,3212836864,3212836864,0,0,0,643,0,0,3212836864,3212836864,0,0,0
254,0x196d0,0x196f0,586,585,0,0,3212836864,3212836864,0,0,0,586,0,0,3212836864,3212836864,0,0,0
254,0x19cd0,0x19cf0,643,641,0,0,3212836864,3212836864,0,0,0,643,0,0,3212836864,3212836864,0,0,0
254,0x1b550,0x1b570,643,617,655360,3212836864,1120403456,618,655360,3212836864,1120403456,643,458752,3212836864,1120403456,645,458752,3212836864,1120403456
255,0x990,0x9b0,586,584,560,0,584,585,561,0,585,586,562,0,586,722,564,0,715
255,0x99c,0x9bc,586,584,585,561,0,585,586,562,0,586,722,564,0,715,565,565,0
